id,CodigoBarras,Descripcion,Rubro,PrecioCosto,PorcIVA,PorcUtil,PrecioVenta,Proveedor,Stock,StockMin,StockMax,CtrlStock,Activo
27,7790036001647,AGUA SABORIZADA FRESH MANZANA 1.5L,Bebidas sin Alcohol,0.0,21.0,0.0,1200.0,null,0,0,0,false,true
28,7790036001562,AGUA SABORIZADA FRESH NARANJA 1.5L,Bebidas sin Alcohol,0.0,21.0,0.0,1200.0,null,0,0,0,false,true
29,7790036001579,AGUA SABORIZADA FRSH POMELO 1.5L,Bebidas sin Alcohol,991.74,21.0,0.0,1200.0,null,0,0,0,false,true
30,7791813403029,AGUA SABORIZADA H2O LIMON 1.5L,Bebidas sin Alcohol,0.0,21.0,0.0,1800.0,null,0,0,0,false,true
"31,7791813421917,""AGUA SABORIZADA H2OH LIMONETO C/GAS 1,5 LTS"",Bebidas sin Alcohol,2220.0,0.0,0.0,2220.0,null,0,0,0,false,true"
"32,7791813421511,""AGUA SABORIZADA H2OH NARANJA C/GAS 1,5 LTS"",Bebidas sin Alcohol,0.0,0.0,0.0,1750.0,null,0,0,0,false,true"
"33,7798062548709,""AGUA SABORIZADA LEVITE MANZANA S/GAS 1,5 LTS"",Bebidas sin Alcohol,2100.0,0.0,4.76,2200.0,null,0,0,0,false,true"
34,7799155001392,AGUA SABORIZADA LEVITE POMELO ROSADO,Bebidas sin Alcohol,0.0,21.0,0.0,2200.0,null,0,0,0,false,true
"35,7799155000852,""AGUA SABORIZADA LEVITE POMELO S/GAS 1,5 LTS"",Bebidas sin Alcohol,2300.0,0.0,0.0,2300.0,null,0,0,0,false,true"
36,7790639003895,AGUA TONICA CUNNINGTON SIN AZUCAR 1.5L,Bebidas sin Alcohol,0.0,21.0,0.0,1700.0,null,0,0,0,false,true
37,7790639003574,AGUA TONICA CUNNINTONG CLASICA 1.5L,Bebidas sin Alcohol,0.0,21.0,0.0,1700.0,null,0,0,0,false,true
38,7799155000135,AGUA VILLA DEL SUR 6.25L,Bebidas sin Alcohol,2685.95,21.0,0.0,3250.0,null,0,0,0,false,true
39,7795481000023,AJI EN ACEITE CON CONDIMENTO SCOZZATTI 300G,Almacén,0.0,21.0,0.0,3600.0,null,0,0,0,false,true
40,7795481000245,AJIES EN VINAGRE EN TROZO SCOZZATTI 300G,Almacén,0.0,21.0,0.0,2800.0,null,0,0,0,false,true
41,7791290793927,ALA CREMOSO 750ML,Limpieza,0.0,21.0,0.0,2130.0,null,0,0,0,false,true
42,7791290793460,ALA JABON PAN JABON EN PAN X 2 400 GRS,Limpieza,1350.0,0.0,0.0,1350.0,null,0,0,0,false,true
43,7791293040257,ALCOHOL EN AEROSOL REXONA,Perfumería,566.35,0.0,40.0,792.89,null,0,0,0,false,true
44,7792378001682,ALCOHOL ETILICO PUROCOL 500 CC,Farmacia,1850.0,0.0,0.0,1850.0,null,0,0,0,false,true
45,7790040141186,ALF BAGLEY BYN BLANCO,Almacén,0.0,21.0,0.0,540.0,null,0,0,0,false,true
"46,77991584,""ALF,FANTOCHE TRIP,BLANCO X85G"",Galletitas y Golosinas,750.0,0.0,0.0,750.0,null,0,0,0,false,true"
"47,77991577,""ALF,FANTOCHE TRIP,NEGRO X85G"",Galletitas y Golosinas,0.0,0.0,0.0,750.0,null,0,0,0,false,true"
48,7790040614000,ALFAJOR BON O BON TRIPLE 60 GRS,Galletitas y Golosinas,0.0,0.0,0.0,1050.0,null,0,0,0,false,true
49,7798230700021,ALFAJOR BONSAI BLANCO,Kiosco,0.0,21.0,0.0,1260.0,null,0,0,0,false,true
50,7622300457303,ALFAJOR MILKA MOUSSE BLANCO X 36,Galletitas y Golosinas,0.0,0.0,0.0,900.0,null,0,0,0,false,true
51,77915481,ALFAJOR PEPITOS X3 57 GRS,Galletitas y Golosinas,0.0,0.0,0.0,900.0,null,0,0,0,false,true
52,7798397444202,ALFAJOR RASTA NEGRO,Kiosco,0.0,21.0,0.0,1250.0,null,0,0,0,false,true
53,77980229,ALFAJOR SIMPLE GUAYMALLEN NEGRO,Kiosco,0.0,21.0,0.0,250.0,null,0,0,0,false,true
54,7798230700014,ALFAJORES BOMSAI NEGRO,Kiosco,0.0,21.0,0.0,1260.0,null,0,0,0,false,true
55,7798230700007,ALFAJORES BONSAI MAICENA,Kiosco,0.0,21.0,0.0,1260.0,null,0,0,0,false,true
56,7790064000261,ALGODON ESTRELLA SUPER 75 GRS,Perfumería,0.0,0.0,0.0,1970.0,null,0,0,0,false,true
57,7790150406915,ALICANTE AJI TRITURADO,Almacén,0.0,21.0,0.0,780.0,null,0,0,0,false,true
58,7790150430392,ALICANTE BICARBONATO 50G,Almacén,670.0,0.0,0.0,670.0,null,0,0,0,false,true
59,7790150435380,ALICANTE CANELA MOLIDA 25G,Almacén,1370.0,0.0,0.0,1370.0,null,0,0,0,false,true
60,7790150465332,ALICANTE COMINO MOLIDO 25G,Almacén,909.09,21.0,0.0,1100.0,null,0,0,0,false,true
61,7790150445365,ALICANTE CONDIMENTO CHIMICHURRI,Almacén,1000.0,0.0,0.0,1000.0,null,0,0,0,false,true
62,7790150470350,ALICANTE CONDIMENTO PARA ARROZ,Almacén,0.0,21.0,0.0,980.0,null,0,0,0,false,true
63,7790150497272,ALICANTE CONDIMENTO PARA EMPANADAS,Almacén,0.0,21.0,0.0,1180.0,null,0,0,0,false,true
64,7790150490334,ALICANTE CONDIMENTO PARA PIZZA,Almacén,0.0,21.0,0.0,800.0,null,0,0,0,false,true
65,7790150610305,ALICANTE ESENCIA DE VAINILLA 100CC,Almacén,0.0,0.0,0.0,1500.0,null,0,0,0,false,true
66,7790150535394,ALICANTE NUEZ MOSCADA,Almacén,1776.86,21.0,0.0,2150.0,null,0,0,0,false,true
67,7790150540152,ALICANTE OREGANO,Almacén,0.0,21.0,0.0,1100.0,null,0,0,0,false,true
68,7790150540183,ALICANTE OREGANO 25G,Almacén,0.0,0.0,0.0,1100.0,null,0,0,0,false,true
69,7790150564844,ALICANTE PIMENTON DULCE 25G,Almacén,644.63,21.0,0.0,780.0,null,0,0,0,false,true
70,7790150556368,ALICANTE PIMIENTA NEGRA EN GRANO,Almacén,0.0,21.0,0.0,1220.0,null,0,0,0,false,true
71,7790150555446,ALICANTE PIMIENTA NEGRA MOLIDA 25G,Almacén,991.74,21.0,0.0,1200.0,null,0,0,0,false,true
72,7790150570180,ALICANTE PROVENZAL 25G,Almacén,785.12,21.0,0.0,950.0,null,0,0,0,false,true
